epoch,train_loss,valid_loss,hits@10,hits@50,hits@100,map@10,map@50,map@100
1,9.499007,9.501928,0.000000,0.002882,0.005764,0.000000,0.000128,0.000161
2,9.459487,9.474375,0.000961,0.002882,0.007685,0.000137,0.000218,0.000295
3,9.377054,9.427929,0.001921,0.007685,0.014409,0.000312,0.000467,0.000570
4,9.226732,9.353554,0.002882,0.015370,0.022094,0.000416,0.000942,0.001046
5,8.962998,9.303269,0.008646,0.024976,0.042267,0.001534,0.002215,0.002448
6,8.645306,9.414181,0.020173,0.047070,0.058598,0.005012,0.006209,0.006383
7,8.422787,9.602849,0.028818,0.054755,0.067243,0.010326,0.011438,0.011620
8,8.294218,9.749858,0.028818,0.065322,0.080692,0.011184,0.012783,0.012996
9,8.207403,9.844287,0.031700,0.070125,0.092219,0.012725,0.014510,0.014808
10,8.133127,9.893079,0.035543,0.073967,0.099904,0.015768,0.017505,0.017881
11,8.059542,9.896444,0.040346,0.079731,0.103746,0.016389,0.018105,0.018474
12,7.972074,9.861600,0.044188,0.089337,0.116234,0.019494,0.021490,0.021858
13,7.863200,9.843726,0.050913,0.094140,0.133525,0.023674,0.025508,0.026060
14,7.739033,9.823303,0.053794,0.104707,0.135447,0.026435,0.028666,0.029142
15,7.598976,9.802835,0.059558,0.114313,0.139289,0.031182,0.033609,0.033978
